"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 24 12:34:08 GMT 2022","Tue May 24 12:34:08 GMT 2022","3","Sanity Automation Suite","pageSanityTests","CartPageTest","CartPageTest","validateDeleteProduct","CartPage- Validate Delete item in Cart Page",""
"passed","Tue May 24 12:29:42 GMT 2022","Tue May 24 12:29:42 GMT 2022","76","Sanity Automation Suite","pageSanityTests","LoginPageTest","LoginPageTest","validateDisplayOfTopBrandsSection","LoginPage- Validate Display of Top Brands section",""
"skipped","Tue May 24 12:38:06 GMT 2022","Tue May 24 12:38:06 GMT 2022","0","Sanity Automation Suite","pageSanityTests","ConfirmationPageTest","ConfirmationPageTest","validateNavigateToHomePage","ConfirmationPage- Validate Navigation from Confirmation Page to Home Page",""
"broken","Tue May 24 12:34:08 GMT 2022","Tue May 24 12:34:08 GMT 2022","0","Sanity Automation Suite","pageSanityTests","CartPageTest","CartPageTest","setUp","setUp",""
"skipped","Tue May 24 12:33:21 GMT 2022","Tue May 24 12:33:21 GMT 2022","0","Sanity Automation Suite","pageSanityTests","PdpPageTest","PdpPageTest","validateUpdateQuantity","PdpPage- Validate Update Quantity",""
"passed","Tue May 24 12:37:08 GMT 2022","Tue May 24 12:37:18 GMT 2022","10097","Sanity Automation Suite","pageSanityTests","OrdersPageTest","OrdersPageTest","validatePlacedOrderDetails","OrdersPage- Validate Navigation from Home Page To Orders Page",""
"passed","Tue May 24 12:32:33 GMT 2022","Tue May 24 12:32:33 GMT 2022","7","Sanity Automation Suite","pageSanityTests","HomePageTest","HomePageTest","validateHomePageTitle","HomePage- Validate home Page title",""
"passed","Tue May 24 12:30:35 GMT 2022","Tue May 24 12:30:45 GMT 2022","10279","Sanity Automation Suite","pageSanityTests","HomePageTest","HomePageTest","validateChangePostcode","HomePage- Validate change Postcode",""
"broken","Tue May 24 12:33:21 GMT 2022","Tue May 24 12:33:21 GMT 2022","1","Sanity Automation Suite","pageSanityTests","PdpPageTest","PdpPageTest","setUp","setUp",""
"broken","Tue May 24 12:34:56 GMT 2022","Tue May 24 12:34:56 GMT 2022","1","Sanity Automation Suite","pageSanityTests","AddressPageTest","AddressPageTest","setUp","setUp",""
"broken","Tue May 24 12:35:44 GMT 2022","Tue May 24 12:35:44 GMT 2022","1","Sanity Automation Suite","pageSanityTests","PaymentPageTest","PaymentPageTest","setUp","setUp",""
"broken","Tue May 24 12:31:44 GMT 2022","Tue May 24 12:32:08 GMT 2022","23761","Sanity Automation Suite","pageSanityTests","HomePageTest","HomePageTest","validateSearchProduct","HomePage- Validate Search Product Scenario",""
"skipped","Tue May 24 12:34:56 GMT 2022","Tue May 24 12:34:56 GMT 2022","1","Sanity Automation Suite","pageSanityTests","AddressPageTest","AddressPageTest","validateNavigateToPaymentPage","AddressPage- Validate Navigation from Address tab to Payment tab",""
"skipped","Tue May 24 12:34:08 GMT 2022","Tue May 24 12:34:08 GMT 2022","0","Sanity Automation Suite","pageSanityTests","CartPageTest","CartPageTest","validateNavigateToAddressPage","CartPage- Validate navigation from Cart tab to address tab",""
"skipped","Tue May 24 12:35:44 GMT 2022","Tue May 24 12:35:44 GMT 2022","0","Sanity Automation Suite","pageSanityTests","PaymentPageTest","PaymentPageTest","validateNavigateToConfirmationPage","PaymentPage- Validate Navigation from Payment Page to Confirmation Page",""
"skipped","Tue May 24 12:34:08 GMT 2022","Tue May 24 12:34:08 GMT 2022","1","Sanity Automation Suite","pageSanityTests","CartPageTest","CartPageTest","validateTotalPriceCheck","CartPage- Validate Total Price in Cart Page",""
"broken","Tue May 24 12:38:06 GMT 2022","Tue May 24 12:38:06 GMT 2022","0","Sanity Automation Suite","pageSanityTests","ConfirmationPageTest","ConfirmationPageTest","setUp","setUp",""
"passed","Tue May 24 12:31:10 GMT 2022","Tue May 24 12:31:20 GMT 2022","10146","Sanity Automation Suite","pageSanityTests","HomePageTest","HomePageTest","validateNavigateToProfilePage","HomePage- Validate Navigation from Home page to Profile Page",""
"broken","Tue May 24 12:36:25 GMT 2022","Tue May 24 12:36:34 GMT 2022","8214","Sanity Automation Suite","pageSanityTests","CommandCenterTest","CommandCenterTest","addMoneyToWallet","Validate Add Money To Wallet",""
"passed","Tue May 24 12:29:45 GMT 2022","Tue May 24 12:30:07 GMT 2022","21829","Sanity Automation Suite","pageSanityTests","LoginPageTest","LoginPageTest","validateLoginTest","LoginPage- Validate Login Test",""
"skipped","Tue May 24 12:35:44 GMT 2022","Tue May 24 12:35:44 GMT 2022","0","Sanity Automation Suite","pageSanityTests","PaymentPageTest","PaymentPageTest","validatePaymentOption","PaymentPage- Validate payment Option",""
"passed","Tue May 24 12:30:10 GMT 2022","Tue May 24 12:30:10 GMT 2022","54","Sanity Automation Suite","pageSanityTests","LoginPageTest","LoginPageTest","validateLogo","LoginPage- Validate Logo on Website",""
"passed","Tue May 24 12:36:19 GMT 2022","Tue May 24 12:36:19 GMT 2022","37","Sanity Automation Suite","pageSanityTests","ProfilePageTest","ProfilePageTest","validateUsernameCheck","ProfilePage- Validate Username in Profile Page",""
"skipped","Tue May 24 12:33:21 GMT 2022","Tue May 24 12:33:21 GMT 2022","1","Sanity Automation Suite","pageSanityTests","PdpPageTest","PdpPageTest","validatePriceDisplay","PdpPage- Validate Price Display",""
"passed","Tue May 24 12:29:37 GMT 2022","Tue May 24 12:29:37 GMT 2022","143","Sanity Automation Suite","pageSanityTests","LoginPageTest","LoginPageTest","validateDisplayOfShopByCategorySection","LoginPage- Validate Display of Shop By Category section",""
"skipped","Tue May 24 12:33:21 GMT 2022","Tue May 24 12:33:21 GMT 2022","0","Sanity Automation Suite","pageSanityTests","PdpPageTest","PdpPageTest","validateAddItemToCart","PdpPage- Validate Add to Cart",""
